SH600000,sh.600000
SH600009,sh.600009
SH600010,sh.600010
SH600011,sh.600011
SH600015,sh.600015
SH600016,sh.600016
SH600018,sh.600018
SH600019,sh.600019
SH600023,sh.600023
SH600025,sh.600025
SH600026,sh.600026
SH600027,sh.600027
SH600028,sh.600028
SH600029,sh.600029
SH600030,sh.600030
SH600031,sh.600031
SH600036,sh.600036
SH600039,sh.600039
SH600048,sh.600048
SH600050,sh.600050
SH600061,sh.600061
SH600066,sh.600066
SH600085,sh.600085
SH600089,sh.600089
SH600104,sh.600104
SH600111,sh.600111
SH600115,sh.600115
SH600150,sh.600150
SH600160,sh.600160
SH600161,sh.600161
SH600176,sh.600176
SH600183,sh.600183
SH600188,sh.600188
SH600196,sh.600196
SH600219,sh.600219
SH600233,sh.600233
SH600276,sh.600276
SH600309,sh.600309
SH600346,sh.600346
SH600362,sh.600362
SH600372,sh.600372
SH600377,sh.600377
SH600406,sh.600406
SH600415,sh.600415
SH600426,sh.600426
SH600436,sh.600436
SH600438,sh.600438
SH600460,sh.600460
SH600482,sh.600482
SH600489,sh.600489
SH600515,sh.600515
SH600519,sh.600519
SH600522,sh.600522
SH600547,sh.600547
SH600570,sh.600570
SH600584,sh.600584
SH600585,sh.600585
SH600588,sh.600588
SH600600,sh.600600
SH600660,sh.600660
SH600674,sh.600674
SH600690,sh.600690
SH600741,sh.600741
SH600760,sh.600760
SH600795,sh.600795
SH600803,sh.600803
SH600809,sh.600809
SH600845,sh.600845
SH600875,sh.600875
SH600886,sh.600886
SH600887,sh.600887
SH600893,sh.600893
SH600900,sh.600900
SH600905,sh.600905
SH600918,sh.600918
SH600919,sh.600919
SH600926,sh.600926
SH600930,sh.600930
SH600938,sh.600938
SH600941,sh.600941
SH600958,sh.600958
SH600989,sh.600989
SH600999,sh.600999
SH601006,sh.601006
SH601009,sh.601009
SH601012,sh.601012
SH601018,sh.601018
SH601021,sh.601021
SH601058,sh.601058
SH601059,sh.601059
SH601066,sh.601066
SH601077,sh.601077
SH601088,sh.601088
SH601100,sh.601100
SH601111,sh.601111
SH601117,sh.601117
SH601127,sh.601127
SH601136,sh.601136
SH601138,sh.601138
SH601166,sh.601166
SH601169,sh.601169
SH601186,sh.601186
SH601211,sh.601211
SH601225,sh.601225
SH601229,sh.601229
SH601236,sh.601236
SH601238,sh.601238
SH601288,sh.601288
SH601298,sh.601298
SH601318,sh.601318
SH601319,sh.601319
SH601328,sh.601328
SH601336,sh.601336
SH601360,sh.601360
SH601377,sh.601377
SH601390,sh.601390
SH601398,sh.601398
SH601456,sh.601456
SH601600,sh.601600
SH601601,sh.601601
SH601607,sh.601607
SH601618,sh.601618
SH601628,sh.601628
SH601633,sh.601633
SH601658,sh.601658
SH601668,sh.601668
SH601669,sh.601669
SH601688,sh.601688
SH601689,sh.601689
SH601698,sh.601698
SH601728,sh.601728
SH601766,sh.601766
SH601788,sh.601788
SH601800,sh.601800
SH601808,sh.601808
SH601816,sh.601816
SH601818,sh.601818
SH601825,sh.601825
SH601838,sh.601838
SH601857,sh.601857
SH601868,sh.601868
SH601872,sh.601872
SH601877,sh.601877
SH601878,sh.601878
SH601881,sh.601881
SH601888,sh.601888
SH601898,sh.601898
SH601899,sh.601899
SH601901,sh.601901
SH601916,sh.601916
SH601919,sh.601919
SH601939,sh.601939
SH601985,sh.601985
SH601988,sh.601988
SH601995,sh.601995
SH601998,sh.601998
SH603019,sh.603019
SH603195,sh.603195
SH603259,sh.603259
SH603260,sh.603260
SH603288,sh.603288
SH603296,sh.603296
SH603369,sh.603369
SH603392,sh.603392
SH603501,sh.603501
SH603799,sh.603799
SH603893,sh.603893
SH603986,sh.603986
SH603993,sh.603993
SH605117,sh.605117
SH605499,sh.605499
SH688008,sh.688008
SH688009,sh.688009
SH688012,sh.688012
SH688036,sh.688036
SH688041,sh.688041
SH688047,sh.688047
SH688082,sh.688082
SH688111,sh.688111
SH688126,sh.688126
SH688169,sh.688169
SH688187,sh.688187
SH688223,sh.688223
SH688256,sh.688256
SH688271,sh.688271
SH688303,sh.688303
SH688396,sh.688396
SH688472,sh.688472
SH688506,sh.688506
SH688981,sh.688981
SZ000001,sz.000001
SZ000002,sz.000002
SZ000063,sz.000063
SZ000100,sz.000100
SZ000157,sz.000157
SZ000166,sz.000166
SZ000301,sz.000301
SZ000333,sz.000333
SZ000338,sz.000338
SZ000408,sz.000408
SZ000425,sz.000425
SZ000538,sz.000538
SZ000568,sz.000568
SZ000596,sz.000596
SZ000617,sz.000617
SZ000625,sz.000625
SZ000630,sz.000630
SZ000651,sz.000651
SZ000661,sz.000661
SZ000708,sz.000708
SZ000725,sz.000725
SZ000768,sz.000768
SZ000776,sz.000776
SZ000786,sz.000786
SZ000792,sz.000792
SZ000807,sz.000807
SZ000858,sz.000858
SZ000876,sz.000876
SZ000895,sz.000895
SZ000938,sz.000938
SZ000963,sz.000963
SZ000975,sz.000975
SZ000977,sz.000977
SZ000983,sz.000983
SZ000999,sz.000999
SZ001391,sz.001391
SZ001965,sz.001965
SZ001979,sz.001979
SZ002001,sz.002001
SZ002027,sz.002027
SZ002028,sz.002028
SZ002049,sz.002049
SZ002050,sz.002050
SZ002074,sz.002074
SZ002142,sz.002142
SZ002179,sz.002179
SZ002230,sz.002230
SZ002236,sz.002236
SZ002241,sz.002241
SZ002252,sz.002252
SZ002304,sz.002304
SZ002311,sz.002311
SZ002352,sz.002352
SZ002371,sz.002371
SZ002384,sz.002384
SZ002415,sz.002415
SZ002422,sz.002422
SZ002459,sz.002459
SZ002460,sz.002460
SZ002463,sz.002463
SZ002466,sz.002466
SZ002475,sz.002475
SZ002493,sz.002493
SZ002594,sz.002594
SZ002600,sz.002600
SZ002601,sz.002601
SZ002625,sz.002625
SZ002648,sz.002648
SZ002709,sz.002709
SZ002714,sz.002714
SZ002736,sz.002736
SZ002916,sz.002916
SZ002920,sz.002920
SZ002938,sz.002938
SZ003816,sz.003816
SZ300014,sz.300014
SZ300015,sz.300015
SZ300033,sz.300033
SZ300059,sz.300059
SZ300122,sz.300122
SZ300124,sz.300124
SZ300251,sz.300251
SZ300274,sz.300274
SZ300308,sz.300308
SZ300316,sz.300316
SZ300347,sz.300347
SZ300394,sz.300394
SZ300408,sz.300408
SZ300413,sz.300413
SZ300418,sz.300418
SZ300433,sz.300433
SZ300442,sz.300442
SZ300476,sz.300476
SZ300498,sz.300498
SZ300502,sz.300502
SZ300628,sz.300628
SZ300661,sz.300661
SZ300750,sz.300750
SZ300759,sz.300759
SZ300760,sz.300760
SZ300782,sz.300782
SZ300803,sz.300803
SZ300832,sz.300832
SZ300866,sz.300866
SZ300896,sz.300896
SZ300979,sz.300979
SZ300999,sz.300999
SZ301236,sz.301236
SZ301269,sz.301269
SZ302132,sz.302132
SH600004,sh.600004
SH600007,sh.600007
SH600008,sh.600008
SH600021,sh.600021
SH600032,sh.600032
SH600038,sh.600038
SH600060,sh.600060
SH600062,sh.600062
SH600095,sh.600095
SH600096,sh.600096
SH600098,sh.600098
SH600109,sh.600109
SH600118,sh.600118
SH600126,sh.600126
SH600131,sh.600131
SH600132,sh.600132
SH600141,sh.600141
SH600143,sh.600143
SH600153,sh.600153
SH600157,sh.600157
SH600166,sh.600166
SH600170,sh.600170
SH600171,sh.600171
SH600177,sh.600177
SH600208,sh.600208
SH600282,sh.600282
SH600295,sh.600295
SH600298,sh.600298
SH600299,sh.600299
SH600312,sh.600312
SH600316,sh.600316
SH600329,sh.600329
SH600332,sh.600332
SH600339,sh.600339
SH600348,sh.600348
SH600352,sh.600352
SH600363,sh.600363
SH600369,sh.600369
SH600378,sh.600378
SH600380,sh.600380
SH600390,sh.600390
SH600392,sh.600392
SH600398,sh.600398
SH600435,sh.600435
SH600483,sh.600483
SH600486,sh.600486
SH600487,sh.600487
SH600497,sh.600497
SH600498,sh.600498
SH600499,sh.600499
SH600511,sh.600511
SH600516,sh.600516
SH600517,sh.600517
SH600521,sh.600521
SH600528,sh.600528
SH600535,sh.600535
SH600536,sh.600536
SH600546,sh.600546
SH600549,sh.600549
SH600562,sh.600562
SH600563,sh.600563
SH600566,sh.600566
SH600578,sh.600578
SH600580,sh.600580
SH600582,sh.600582
SH600583,sh.600583
SH600598,sh.600598
SH600601,sh.600601
SH600602,sh.600602
SH600606,sh.600606
SH600637,sh.600637
SH600642,sh.600642
SH600655,sh.600655
